PM10;SO2;CO;O3;NO2;Output
42;30;1;30;12;1
34;29;1;29;11;1
37;28;1;30;11;1
37;29;1;35;12;1
18;28;0;30;12;1
63;27;0;35;11;1
35;28;1;32;12;1
29;28;0;37;11;1
36;28;0;45;13;0
24;27;0;30;11;1
21;28;0;16;13;1
28;29;0;32;12;1
37;31;0;29;11;1
22;31;0;30;12;1
33;29;0;37;13;1
23;31;0;28;13;1
43;31;0;34;14;1
88;31;1;41;14;1
106;32;1;47;14;1
62;30;1;39;13;1
26;29;0;38;11;1
20;29;0;28;10;1
6;27;0;24;9;1
6;27;0;22;9;1
22;27;0;25;9;1
22;29;0;35;10;1
30;26;0;22;14;1
15;27;0;34;11;1
10;29;0;31;9;1
3;29;0;23;10;1
5;29;0;27;10;1
11;30;0;19;10;1
13;30;0;18;11;1
13;31;0;22;11;1
21;31;0;24;13;1
12;30;0;22;12;1
17;30;0;23;12;1
11;30;0;17;11;1
55;31;0;23;14;1
6;29;0;11;8;1
17;31;0;11;9;1
18;31;0;13;10;1
12;30;0;17;12;1
22;30;0;17;11;1
6;30;0;14;7;1
24;33;1;14;8;1
14;32;0;12;8;1
26;31;0;26;11;1
39;32;0;31;14;1
9;32;0;27;10;1
0;28;0;17;10;1
9;27;0;22;6;1
11;31;0;21;12;1
13;31;0;22;8;1
12;31;0;21;6;1
12;32;0;24;6;1
23;32;0;19;2;1
24;33;0;23;0;1
5;31;0;18;0;1
3;30;0;16;0;1
6;30;0;18;1;1
4;30;0;18;1;1
0;30;0;20;3;1
6;30;0;21;0;1
24;32;0;25;1;1
29;33;0;27;0;1
